Area,Emirate
Ajman Emirates,AJM
Ajman,AJM
Abu Dhabi city,AUH
Yas Island,AUH
Dubai City,DXB
Fujairah,FUJ
Fujairah City,FUJ
Al Aqah,FUJ
Ras al-Khaimah,RAK
Al Hamraniyah,RAK
Al Jazirah Al Hamra,RAK
Sharjah,SHJ
Dubai,DXB
Yas,AJM
Abu Dhabi,AUH
Al Barsha,DXB
Umm Suqeim,DXB
Downtown Dubai,DXB
Al Ain,AUH
Umm al-Quwain,UAQ
United Arab Emirates,DXB
Dubai Marina,DXB
Dubai Investments Park,DXB
Bur Dubai,DXB
Jebel Ali,DXB
Deira,DXB
Sheikh Zayed Road,DXB
Mussafah,AUH
Ruwais,AUH
Palm Jumeirah,DXB
Jumeirah,DXB
Al Dhait South,RAK
Ras al-Jaima City,RAK
Al Riffa,RAK
Al Kasir,AUH
